split,id,landmark_index,ere,ere_mm,true_radial_error_px,true_radial_error_mm
validation,RBS17231466_6L,7,4.688453197479248,0.3285248577594757,4.242640495300293,0.2972865104675293
validation,RBS21824644_7L,1,5.392076015472412,0.37782853841781616,11.045360565185547,0.7739605903625488
validation,RBS21824644_7L,2,5.871943473815918,0.411453515291214,10.440306663513184,0.7315638065338135
validation,RBS21824644_7L,3,4.6419878005981445,0.3252691924571991,3.605551242828369,0.25264495611190796
validation,RBS21824644_7L,4,4.7500786781311035,0.3328430652618408,4.242640495300293,0.2972865104675293
validation,RBS21824644_7L,5,7.288205623626709,0.5106925368309021,5.0,0.35035550594329834
validation,RBS21824644_7L,6,5.696028232574463,0.3991270065307617,11.401754379272461,0.7989334464073181
validation,RBS21824644_7L,7,5.518592357635498,0.3866938054561615,5.830951690673828,0.4085812270641327
validation,RBS16627388_6L,1,5.302806377410889,0.37157344818115234,1.4142135381698608,0.09909550100564957
validation,RBS16627388_6L,2,5.248669147491455,0.3677799105644226,5.830951690673828,0.4085812270641327
validation,RBS16627388_6L,3,4.2746381759643555,0.2995288372039795,2.0,0.14014220237731934
validation,RBS16627388_6L,4,4.368618965148926,0.3061138093471527,5.0,0.35035550594329834
validation,RBS16627388_6L,5,4.636477947235107,0.3248830735683441,2.0,0.14014220237731934
validation,RBS16627388_6L,6,4.661144256591797,0.3266116678714752,3.0,0.210213303565979
validation,RBS16627388_6L,7,6.403419494628906,0.4486945569515228,6.082762718200684,0.426225870847702
validation,RBS16710971_3R,1,5.45565938949585,0.38228416442871094,4.123105525970459,0.28891056776046753
validation,RBS16710971_3R,2,7.173056125640869,0.5026238560676575,3.0,0.210213303565979
validation,RBS16710971_3R,3,5.223903179168701,0.36604443192481995,0.0,0.0
validation,RBS16710971_3R,4,5.311063289642334,0.37215232849121094,5.830951690673828,0.4085812270641327
validation,RBS16710971_3R,5,4.809056282043457,0.3369758129119873,7.071067810058594,0.49547749757766724
validation,RBS16710971_3R,6,4.920435428619385,0.3447803258895874,5.0,0.35035550594329834
validation,RBS16710971_3R,7,6.707350730895996,0.46999144554138184,13.34166431427002,0.9348650574684143
validation,RBS18212633_3R,1,6.069129467010498,0.42527028918266296,10.198039054870605,0.7145878076553345
validation,RBS18212633_3R,2,5.656187057495117,0.39633530378341675,13.0,0.9109243154525757
validation,RBS18212633_3R,3,4.823610305786133,0.33799564838409424,3.0,0.210213303565979
validation,RBS18212633_3R,4,4.515377521514893,0.31639739871025085,1.4142135381698608,0.09909550100564957
validation,RBS18212633_3R,5,5.174566268920898,0.3625878095626831,12.083045959472656,0.8466723561286926
validation,RBS18212633_3R,6,5.286076068878174,0.3704013228416443,7.280109882354736,0.5101252794265747
validation,RBS18212633_3R,7,5.402350902557373,0.37854886054992676,1.0,0.07007110118865967
