split,id,landmark_index,ere,ere_mm,true_radial_error_px,true_radial_error_mm
validation,RBS14724681_1R,7,6.777157783508301,0.4748828411102295,10.0,0.7007110118865967
validation,RBS18583824_6L,1,4.627870559692383,0.3242800831794739,3.605551242828369,0.25264495611190796
validation,RBS18583824_6L,2,5.75801420211792,0.4034704566001892,3.605551242828369,0.25264495611190796
validation,RBS18583824_6L,3,4.8358893394470215,0.33885613083839417,11.401754379272461,0.7989334464073181
validation,RBS18583824_6L,4,4.616446018218994,0.32347947359085083,6.324555397033691,0.4431685507297516
validation,RBS18583824_6L,5,4.934465408325195,0.34576350450515747,7.6157732009887695,0.5336456298828125
validation,RBS18583824_6L,6,5.488372325897217,0.384576678276062,15.132745742797852,1.0603681802749634
validation,RBS18583824_6L,7,8.311932563781738,0.582426130771637,6.7082037925720215,0.47005122900009155
validation,RBS15065081_7L,1,10.479137420654297,0.7342847585678101,9.486832618713379,0.6647528409957886
validation,RBS15065081_7L,2,7.250965118408203,0.508083164691925,11.401754379272461,0.7989334464073181
validation,RBS15065081_7L,3,5.477247714996338,0.38379696011543274,1.0,0.07007110118865967
validation,RBS15065081_7L,4,6.141312122344971,0.430328369140625,15.29705810546875,1.0718817710876465
validation,RBS15065081_7L,5,5.787973880767822,0.4055696725845337,9.433980941772461,0.6610494256019592
validation,RBS15065081_7L,6,5.378773212432861,0.37689656019210815,3.0,0.210213303565979
validation,RBS15065081_7L,7,7.037191867828369,0.4931040108203888,0.0,0.0
validation,RBS19009647_6L,1,5.388050079345703,0.37754660844802856,11.0,0.7707821130752563
validation,RBS19009647_6L,2,4.8424177169799805,0.3393136262893677,2.0,0.14014220237731934
validation,RBS19009647_6L,3,4.690615177154541,0.32867661118507385,5.830951690673828,0.4085812270641327
validation,RBS19009647_6L,4,6.574423313140869,0.4606771469116211,2.0,0.14014220237731934
validation,RBS19009647_6L,5,4.83707857131958,0.3389393389225006,7.8102498054504395,0.547272801399231
validation,RBS19009647_6L,6,4.591269493103027,0.32171541452407837,0.0,0.0
validation,RBS19009647_6L,7,5.993454933166504,0.41996777057647705,5.0,0.35035550594329834
validation,RBS21235640_7R,1,4.753374099731445,0.3330738842487335,8.0,0.5605688095092773
validation,RBS21235640_7R,2,6.121223449707031,0.4289209544658661,2.0,0.14014220237731934
validation,RBS21235640_7R,3,4.398160934448242,0.3081836700439453,3.0,0.210213303565979
validation,RBS21235640_7R,4,5.561184883117676,0.38967838883399963,8.485280990600586,0.5945730209350586
validation,RBS21235640_7R,5,4.546873569488525,0.3186042010784149,3.0,0.210213303565979
validation,RBS21235640_7R,6,5.768063545227051,0.4041745662689209,3.0,0.210213303565979
validation,RBS21235640_7R,7,9.51770305633545,0.6669158339500427,8.5440034866333,0.5986877679824829
validation,RBS18400460_6L,1,6.301597595214844,0.441559761762619,16.278820037841797,1.1406749486923218
validation,RBS18400460_6L,2,5.844550132751465,0.40953415632247925,3.605551242828369,0.25264495611190796
validation,RBS18400460_6L,3,4.807976722717285,0.3369002938270569,0.0,0.0
validation,RBS18400460_6L,4,4.858576774597168,0.3404458463191986,3.0,0.210213303565979
validation,RBS18400460_6L,5,6.091817378997803,0.4268607497215271,3.0,0.210213303565979
validation,RBS18400460_6L,6,7.016180038452148,0.49163150787353516,5.099019527435303,0.35729390382766724
validation,RBS18400460_6L,7,7.412294864654541,0.5193876624107361,4.242640495300293,0.2972865104675293
validation,RBS19701807_3R,1,11.822969436645508,0.8284485340118408,19.02629852294922,1.3331936597824097
validation,RBS19701807_3R,2,12.035914421081543,0.8433693647384644,12.529964447021484,0.8779883980751038
validation,RBS19701807_3R,3,6.557700157165527,0.4595052897930145,23.600847244262695,1.6537374258041382
validation,RBS19701807_3R,4,7.103882312774658,0.49777695536613464,12.083045959472656,0.8466723561286926
validation,RBS19701807_3R,5,9.847899436950684,0.6900532245635986,39.560081481933594,2.7720184326171875
validation,RBS19701807_3R,6,5.2029876708984375,0.3645790219306946,8.602325439453125,0.6027743816375732
validation,RBS19701807_3R,7,14.299118995666504,1.0019561052322388,15.264337539672852,1.0695888996124268
validation,RBS18255466_5L,1,7.979763031005859,0.5591509342193604,8.246211051940918,0.5778211355209351
validation,RBS18255466_5L,2,8.120458602905273,0.5690093636512756,3.0,0.210213303565979
validation,RBS18255466_5L,3,5.922257900238037,0.41497913002967834,2.8284270763397217,0.19819100201129913
validation,RBS18255466_5L,4,8.631649017333984,0.6048285961151123,4.242640495300293,0.2972865104675293
validation,RBS18255466_5L,5,5.677978038787842,0.39786210656166077,9.0,0.630639910697937
validation,RBS18255466_5L,6,5.1590576171875,0.36150088906288147,3.605551242828369,0.25264495611190796
validation,RBS18255466_5L,7,5.427004814147949,0.38027623295783997,3.0,0.210213303565979
validation,RBS15163041_11L,1,6.307374954223633,0.44196462631225586,28.23118782043457,1.9781904220581055
validation,RBS15163041_11L,2,5.987095832824707,0.4195225238800049,45.12205505371094,3.161752223968506
validation,RBS15163041_11L,3,6.58195686340332,0.46120500564575195,41.48493576049805,2.906895160675049
validation,RBS15163041_11L,4,10.3053560256958,0.7221074104309082,35.35533905029297,2.4773874282836914
validation,RBS15163041_11L,5,5.15275764465332,0.3610593378543854,49.030601501464844,3.4356284141540527
validation,RBS15163041_11L,6,8.919989585876465,0.625032901763916,54.58937454223633,3.8251376152038574
